ID,Quelle,Thema,Befund,Art,Referenzstelle,Geprueft,Bewertung,Empfehlung,Meilenstein,Prioritaet,Status
FB-54,M3-Abnahme,Die drei Kandidaten zum Vorziehen — Bewertung nach M3,"plan.md nennt drei Konstrukte, die „trotzdem frueher kommen koennten"", weil sie keinen Codegen brauchen: Konstantenvariablen `[const N]`, Einheiten auf Ganzzahlen und das Lesen der Hardware-Konfiguration (8.10). Die Empfehlung lautete ausdruecklich „nach M3 bewerten, nicht jetzt entscheiden"".",Befund,plan.md Abschnitt 5.1 (Kandidaten zum Vorziehen),"Alle drei gegen den Compiler geprueft, nicht nur gegen die Inventur: `fn f[const N](b: bytes<N>)` und `var x : int[inc]` melden ihre Stufe; eine Hardware-Konfiguration gibt es im Workspace nicht (kein Parser, kein Format, keine Datenstruktur). Keiner der drei ist gebaut. Die Messung, die der Plan als Entscheidungsgrundlage wollte: 19 der 63 Pruefungen stehen auf `definiert`, weil ihr Konstrukt fehlt — die drei Kandidaten geben davon aber nur 6 frei (52, 38 und die vier kalibrierungsabhaengigen 28/29/32/39). Die uebrigen 13 haengen an `mat`, `map`, `resume`, Triggern und gescopten Instanzen, also an M6 und M8 unabhaengig von diesen dreien.","Die Empfehlung des Plans ist eingeloest: Es wurde bewertet statt geraten, und zwar an der Zahl, die der Plan dafuer vorgesehen hat. Das Ergebnis spricht gegen das Vorziehen — es loest 6 von 19 und bricht die Reihenfolge, waehrend Warten dieselben sechs gebuendelt in M6 bringt, wo `property`, `scenario` und die Standardbibliothek ohnehin entstehen.","Zwei der drei sind entschieden und einzeln dokumentiert: `[const N]` als FB-39 abgelehnt (der Engpass war nicht die Sequenzierung — 24 der beklagten Zeilen waren tote Bindungen, 11 von 19 Schleifen Byte-Kopien, letztere seit `append` erledigt); die Hardware-Konfiguration in plan/feedback-design.md 10 und FB-48 zurueckgestellt (ohne gemessene Werte enthaelt die Datei nichts, und die Messung kommt mit M5). Der dritte, Einheiten auf Ganzzahlen, wird in plan/einheiten-integer.md bewertet.",M6,mittel,bewertet 2026-09-11
FB-55,M3-Abnahme,Einheiten auf Ganzzahlen vorziehen (dritter Kandidat),"plan.md nennt `int[U]` als Kandidaten zum Vorziehen: „Typregeln, keine neue Laufzeit""; es loest Pruefung 38 und „den Registerteil beider Praxistreiber"". Die Bewertung stand aus.",Befund,plan.md 5.1; 3.2 (Einheiten auf Integern); Pruefung 38,"Bestaetigt und nachgemessen. Alle drei Treiberautoren haben `int[U]` spontan benutzt, ohne Hinweis: Servo 16 Stellen (`i32[inc/s]`, `u32[inc/s]`, `i16[permille]`), UART 5 (`u32[Hz]`, `u32[Bd]`), DMX 1 — zusammen 22. Der Aufwand ist kleiner als die Notiz annimmt: Grammatik, Parser, AST und das MIR-Feld `Type::Int { unit }` stehen bereits, die Einheitenalgebra (units.rs, 551 Zeilen) ist typunabhaengig. Offen sind vier Stellen — drei Ablehnungen in takt-sema und `ConvertKind::To` im Interpreter, das fuer Integer heute ausdruecklich trappt (der Trap-Text nennt M6 bereits).","Der Nutzen ist groesser als die eine freigegebene Pruefung vermuten laesst. In der Treiberhaelfte ist die ganzzahlige dimensionierte Groesse der Normalfall: CANopen-Objekte, Baudraten, Taktfrequenzen. Heute muss jeder solche Wert auf `float` ausweichen — auf einem Kern ohne FPU zwei Groessenordnungen teurer (12.8) und ohne Bit-Genauigkeit — oder die Einheit weglassen und damit die Sicherheit verlieren, fuer die 3.2 wirbt. Auch FB-17 (`round(x / (1 inc/s))` als „Ritual"") hat hier seine Ursache: Das Ritual steht nur da, *weil* `x` ein Float sein muss.","Vorziehen, aber als **erster Baustein von M6, nicht vor M4**. M4 bringt die zweite Semantikquelle (differentielles Testen Interpreter gegen nativ) und ist der groessere Gewinn; danach prueft der Test die neue Typregel von Anfang an mit, und die Standardbibliothek kann ihre Integer-Varianten (`pid_i`, `lowpass_i`) gleich mit Einheiten schreiben. Jetzt ist dafuer nichts zu tun: Pruefung 38 hat ihren Ablehnungstest seit M3, genau wie plan/m3.md es vorgesehen hat. Bewertung in plan/einheiten-integer.md.",M6 (frueh),mittel,bewertet 2026-09-11
FB-56,M3-Abnahme,Inventurstatus bis M3 war flaechendeckend veraltet,"144 der 535 Eintraege des M0/M3-Blocks standen auf `offen` oder `teilweise`, obwohl das Meiste laengst laeuft — darunter 48 reservierte Membernamen, die sieben Abschnitte aus Kapitel 1 und die zehn Datenflussarten aus 1.4.",Bug,plan.md Abschnitt 4 (Inventur als Dashboard),"Jede Gruppe am Compiler geprueft, nicht am Titel. Die 48 `MEM-*`: 28 sind gesenkt und im Korpus oder in einem Test benutzt (`.len`, `.count`, `.bit`, `.min()`, `.max()`, `.starts_with`, …), 18 melden im Lowering eine Stufe (Matrixoperationen 3.11, Jobs 4.5, Trigger 7.5, `map` 3.9, `to_float` 3.2, Messwerte aus 8.10) und sind damit `definiert`. Die sieben `SEM-1.x`/`2.4`/`2.5` sind Prosaabschnitte, deren Inhalt seit M1 steht — `image.rs:95` zitiert 1.5 sogar beim Namen, und 2.1 bis 2.3 standen daneben schon auf `fertig`. Die zehn `PAR-1.4`-Arten laufen bis auf `follows` (Stufenmeldung).","Die Inventur ist das Dashboard des Plans; ein Status, der nur punktuell nachgezogen wird, sagt ueber den Fortschritt nichts. Dieselbe Klasse wie FB-44 (Kapitel 11 pauschal auf M3/M4), aber flaechiger: Dort war der Meilenstein falsch, hier der Status.","Erledigt: 442 der 532 M0/M3-Eintraege stehen auf `fertig`, 86 auf `definiert` (Konstrukt meldet Stufe), vier auf `teilweise` mit dokumentiertem Grund (SEM-11.5 DFA-Tabellen, SC-12 Kalibrierung, SC-25 nicht ausloesbar, FMT-MIR-Serialisierung ohne Test auf Abwaertskompatibilitaet). **Nichts steht mehr auf `offen`.** Drei Formate zogen zu ihrem Verbraucher: Aufzeichnung und Lauf-Header nach M4, Konformitaetsbericht nach M5.",M3,mittel,behoben 2026-09-11
FB-57,M4-Planung,Satz 9.4.4 ist schon im Interpreter unbewiesen,"Die transzendenten Intrinsics rechnen mit Rusts Standardbibliothek (`v.sin()`, `v.exp()`, …), also mit der Plattform-libm. Deren Ergebnis ist nicht ueber Targets garantiert — 4.2 verlangt korrekt gerundete Implementierungen.",Bug,4.2; 9.4.4; call.rs:191-215,"Bestaetigt: `apply32` (call.rs:191) und `apply64` (call.rs:201) rufen `v.sin()`, `v.cos()`, `v.tan()`, `v.asin()`, `v.acos()`, `v.atan()`, `v.exp()`, `v.ln()`; dazu `atan2`, `pow` und `sqrt` in eigenen Armen. Betroffen sind 11 der 26 Intrinsics. `fma` nutzt `mul_add` und ist sicher (IEEE-754-2008), die uebrigen 15 sind Integeroperationen.","Der Befund verschiebt die Reihenfolge von M4. Solange der Interpreter die Plattform-libm benutzt, misst das differentielle Testen den Codegen gegen ein Orakel, das selbst nicht reproduzierbar ist — ein Unterschied zwischen x86-64 und aarch64 waere nicht zuzuordnen. Der Plan nennt „Bit-Identitaet scheitert an FP-Details"" als groesstes M4-Risiko und `libtaktm`-Vektoren als Gegenmassnahme; eine Gegenmassnahme nach dem Risiko ist keine.","Erledigt (Schritt 1 und 2 von M4): `crates/libtaktm` rechnet die Mathematik, der Interpreter ruft sie. Die kuratierte Menge beginnt mit den Operationen, deren Ergebnis IEEE-754 vorschreibt — `sqrt`, `fma`, die Rundungen, `abs`, `copysign` —, belegt durch 120 Vektoren in `grammar/libtaktm.md`. Die transzendenten Funktionen sind nicht kuratiert und werden **vor dem Lauf abgelehnt**, statt still ein Ergebnis zu liefern, das auf einem anderen Target ein anderes waere. Drei Tests halten die Spezifikation und die kuratierte Menge im Gleichschritt, darunter der umgekehrte: kein Vektor fuer eine Funktion, die der Compiler ablehnt.",M4,hoch,behoben 2026-09-11
FB-58,M4-Planung,Kostenmodell ohne Granularitaet je Intrinsic,`analysis/cost.rs:163` rechnet jede Intrinsic als `class_of(e) + {call: 1}`. Ein `sin` kostet damit so viel wie ein `abs`.,Befund,9.4.3; 7.2; 9.4.5,"Bestaetigt am Code. Solange die Mathematik aus der Plattform-libm kam, war es nicht besser zu machen — niemand kannte die Kosten.","Mit eigenen Implementierungen sind sie messbar, und sie gehoeren in das Budget, das Schedulability (7.2) und Safe-State-Latenz (9.4.5) tragen. Ein Budget, das einen Regler mit `sin`-Aufruf so teuer rechnet wie eine Zuweisung, traegt beide Aussagen nicht.","Eingeplant in plan/m4.md 2.4: `libtaktm` deklariert je Funktion eine Operationszahl, `cost.rs` liest sie — dieselbe Konstruktion wie der Kostenvertrag nativer Funktionen (4.5). Die Umrechnung in Zeit bleibt M5.",M4,mittel,eingeplant M4
FB-59,M4-Planung,Prelude ohne native Funktionen; `call_native` trapt,"plan/m1.md sagt `crc32`, `sha256_*` und `fft256` als `native fn` im Prelude an. Das Prelude enthaelt keine einzige; `call_native` (call.rs:126) trapt mit „noch nicht verfuegbar (M4)"".",Befund,4.5; 13.8; plan/m1.md Abschnitt 8,"Bestaetigt: `grep -c native crates/takt-sema/src/prelude.takt` ergibt 0. Struktur (`Native`, `CostVec`), Senkung (lower/decl.rs:834) und Kostenmodell stehen; nur die Implementierung fehlt.","Kein Widerspruch, sondern eine Luecke mit Datum: Die Trap-Meldung nennt M4 selbst. 13.8 verlangt fuer jede native Funktion Bit-Gleichheit ueber alle Targets und Panic-Freiheit unter Fuzzing — dieselbe Huerde wie fuer `libtaktm`.","Eingeplant als Schritt 9 von M4, bewusst hinter der Abnahme: Wenn die erste native Funktion ihre Huerde nehmen muss, steht das differentielle Testen bereits.",M4,mittel,eingeplant M4
FB-60,M4-Umsetzung,`no_std` und `sqrt` schliessen sich auf stabilem Rust aus,"`f64::sqrt`, `mul_add`, `floor` und `ceil` stehen nur in `std`, nicht in `core` — genau die vier Funktionen, mit denen die kuratierte Menge beginnt. Der Weg zu den LLVM-Intrinsics verlangt Nightly, und der Workspace verbietet `unsafe_code`.",Befund,4.2; plan/plan.md Abschnitt 3 (`libtaktm` als `no_std`-Crate),Bestaetigt: `#![no_std]` plus `x.sqrt()` uebersetzt nicht; `core::intrinsics` verlangt `#![feature]` und damit Nightly.,"Der Plan nennt `libtaktm` ein `no_std`-Crate, die Referenz verlangt in 4.2 fuer `fma` aber ausdruecklich Hardware, „wo vorhanden (VFMA, FMADD, FMA3), sonst korrekt gerundet in Software"". Die Hardware-Variante ist die gewollte; die Software-Emulation ist der Rueckfall. Sie jetzt zu schreiben hiesse, den Rueckfall vor dem Normalfall zu bauen, ohne ein Target zu haben, an dem er sich pruefen liesse.","Erledigt: Feature `std` (Standard an) liefert die Hardware-Primitiven; ohne es ist das Crate `no_std`, aber keine Funktion der Stufe 1 kuratiert — und `curated()` sagt das, statt eine Funktion als verfuegbar zu melden, die beim Aufruf fehlt. Die Emulation kommt mit M5, wenn ein `no_std`-Target existiert. Steht in plan/m4.md 2.3c und in der `Cargo.toml` an der Stelle, an der jemand das Feature abschaltet.",M4 / M5,mittel,behoben 2026-09-11
FB-61,M4-Umsetzung,Vektorerzeugung verlor das Vorzeichen der Null,"Der erste Satz Vektoren fuer `floor`, `ceil` und `trunc` war an vier Stellen falsch: Pythons `math.trunc(-0.5)` liefert die ganze Zahl `0`, IEEE-754 und Rust liefern `-0.0`.",Bug,grammar/libtaktm.md; 4.2,"Vom Test gefunden, nicht von der Durchsicht: `every_vector_holds` meldete vier Abweichungen mit Zeilennummer und erhaltenem Bitmuster.","Das ist das Argument fuer Bitmuster statt Dezimalzahlen in einem Satz. Dezimal geschrieben waeren `0.0` und `-0.0` dieselbe Zeile gewesen, und der Fehler waere durch die Pruefung gelaufen — in einer Datei, die normativ ist.","Erledigt: Der Erzeuger reicht das Vorzeichen der Null durch (`math.copysign`), und der Test prueft Bitmuster.",M4,niedrig,behoben 2026-09-11
FB-62,M4-Umsetzung,`max_slew` und `debounce` waren tote Deklarationen,"Beide Channel-Attribute liessen sich seit M0 schreiben und kamen durch Parser, Sema und MIR-Roundtrip — gelesen hat sie nie jemand. Ein Programm mit `with max_slew = 50 bar/s` verhielt sich exakt wie eines ohne.",Bug,3.5; 12.6 Zeilen 3 und 4; 10.2,"Bestaetigt durch Suche: `max_slew` kam in `takt-interp` an keiner Stelle vor, `debounce` ebenso wenig. Nur Pruefung 3 (Ranges) war als `enforce_range` da.","Schwerer als eine fehlende Funktion: Die Deklaration sah aus wie eine Zusage. 10.2 zaehlt `max_slew`, `debounce`, `max_age` und die Range ausdruecklich unter den Annahmen auf, die der Beweiser „ohne Zusatzaufwand voraussetzen"" darf — *weil* der Treiberrand sie zur Laufzeit erzwingt. Er tat es fuer zwei der vier nicht, und ein Beweis, der sich darauf stuetzte, haette auf Sand gestanden. Dass Pruefung 3 implementiert war und aussah wie „der Rand"", hat es verdeckt.","Erledigt (Schritt 3 von M4): Beide Pruefungen stehen in `crates/takt-hal` und laufen im Interpreter. `corpus-try/sim/14_8` haelt beide Faelle als Golden-Trace fest, mit und ohne `debounce`, samt Erholung. RAND-3 und RAND-4 stehen auf `fertig`.",M4,hoch,behoben 2026-09-11
FB-63,M4-Umsetzung,Der Rand darf nicht mit der Wertdarstellung des Interpreters rechnen,"Die naheliegende Fassung der Pruefungen 3 und 4 arbeitet auf `Value` — der Interpreter hat sie, und `in_range` stand schon da. Der erzeugte Code hat aber getypte Strukturen (11.2) und keinen `Value`.",Entwurfsentscheidung,12.6; 11.2; 9.4.4,"Beim Entwurf von `takt-hal` aufgefallen, bevor Code entstand.","Ein Rand ueber `Value` waere im Codegen nachgebaut worden, und ein nachgebauter Rand ist ein zweiter Rand — er weicht in den Randfaellen ab, also genau dort, wo er zaehlt. Satz 9.4.4 gaelte fuer die Degradierung dann nicht.","Erledigt: Der Rand rechnet ueber das Trait `Scalar`, das nur Ordnung und Differenz verlangt; `Value` implementiert es. Nebenbefund: Der Rand kann den gehaltenen Wert nicht selbst fuehren, weil er den Typ des Kanals nicht kennt — ein `int`-Kanal bekaeme aus der Entprellung sonst einen `f64`. `Verdict.held` sagt darum nur, *dass* gehalten wird.",M4,mittel,behoben 2026-09-11
FB-64,M4-Umsetzung,Ein `bool` fuer Ueberlauf und Fault haette den Trace unter `alert` stumm gemacht,Die Ueberlaufmessung in `takt-rt-core` beantwortete zwei Fragen mit einem Rueckgabewert: ob der Tick seine Periode ueberschritten hat und ob daraus ein Fault folgt. Unter der Policy `alert` war beides `false`.,Bug,7.3; 12.2,"Vom Test `the_alert_policy_raises_no_fault` gefunden, nicht von der Durchsicht.","7.3 trennt die beiden ausdruecklich: „Der Tick wird nie uebersprungen; die logische Zeit bleibt konsistent, die physische Verzoegerung wird protokolliert"" gilt unbedingt, die Policy entscheidet nur ueber den Fault. `alert` ist der Modus fuer unkritische Systeme — dort ist das Protokoll die einzige Auskunft, die bleibt, und genau sie waere weggefallen.","Erledigt: `Overrun::observe` liefert `Seen { over, fault }`. Der Trace meldet den Ueberlauf unter beiden Policies, der Fault nur unter `fault`.",M4,mittel,behoben 2026-09-11
FB-65,M4-Umsetzung,"12.2 verlangt drei Aufrufe, die es in sicherem stabilem Rust nicht gibt","`clock_nanosleep(TIMER_ABSTIME)`, `mlockall` und `SCHED_FIFO` sind die Grundlage der Echtzeitzusage des Profils `linux_rt`. Alle drei brauchen entweder das `libc`-Crate — die erste externe Abhaengigkeit des Workspace — oder `unsafe`, das `unsafe_code = ""forbid""` ausschliesst.",Befund,12.2; plan/plan.md Abschnitt 3,"Gemessen: `thread::sleep` verfehlt 100 us um das Fuenffache und ist ausserdem relativ, nicht absolut. Grober Schlaf plus Spin-Wait auf eine absolute Frist trifft meist unter 1 us, mit Ausreissern bis 74 us auf einer Box ohne PREEMPT_RT.","Der Algorithmus aus 12.2 — absolute Fristen, damit ein zu spaeter Tick sich nicht fortpflanzt — laesst sich ohne libc bauen; die *Zusage* nicht. Ohne `SCHED_FIFO` und `mlockall` kann ein Scheduler oder ein Seitenfehler jederzeit dazwischenkommen, und dann misst der Lauf die Maschine statt das Programm.","Erledigt (Schritt 5): `rustix` 1.1.4 liefert `clock_nanosleep_absolute`, `mlockall` und `sched_setaffinity` als *sichere* Funktionen — drei der vier Punkte aus 12.2 ohne `unsafe`. Die frueher gemeldete Alternative „libc oder unsafe"" war unvollstaendig: Ich hatte nicht geprueft, ob ein sicheres Bindungs-Crate existiert. `SCHED_FIFO` setzt die Runtime bewusst nicht (siehe FB-90).",M4,hoch,behoben 2026-09-12
FB-66,M4-Umsetzung,Die Entscheidung fuer `inkwell` war ohne die Zertifizierung getroffen,"`plan/m4.md` 4.1 waehlte `inkwell` mit dem Argument, ein Textausgeber muesse die strikten FP-Attribute von Hand schreiben. Der Anlass zur erneuten Pruefung war praktisch: Auf der Entwicklungsmaschine ist kein LLVM installiert.",Entwurfsentscheidung,11.3; 13.4; 4.2; plan/m4.md 4.1,"Geprueft: rustc bringt LLVM 22 mit, aber keine Installation, gegen die `inkwell` linken koennte; die ueblichen Pfade sind leer.","Die erneute Abwaegung ergab drei Gruende, die schwerer wiegen als das FP-Argument. 13.4 nennt einen *qualifizierbaren* Codegen als Ziel — eine Qualifikation verlangt ein Artefakt, das sich pruefen und archivieren laesst, und `inkwell` baut einen Graphen im Speicher. 11.3 verlangt bitidentische Builds; mit Text ist der Beitrag des Compilers eine Datei, die sich hashen und diffen laesst. Und `inkwell` bindet den Workspace an eine LLVM-Hauptversion, womit jedes Upgrade eine Migration wird. Das FP-Argument selbst kehrt sich um: Strikte FP ist in der Textform die *Abwesenheit* von Flags, und Abwesenheit ist vollstaendig pruefbar.","Erledigt: `crates/takt-llvm` erzeugt LLVM-IR als Text; `emit` bietet keine Moeglichkeit, ein Flag zu setzen, und zwei Tests durchsuchen die IR nach allen sieben. LLVM bleibt noetig, aber erst fuer die Abnahme (Schritt 8), nicht zum Bauen des Compilers. 4.1 ist mit der vollstaendigen Begruendung neu geschrieben.",M4,hoch,behoben 2026-09-11
FB-67,M4-Umsetzung,Ein Basisblock ohne Terminator — nur LLVM konnte das finden,"Die erste Fassung der Maschinen-IR fiel von einem Basisblock in die naechste Marke, ohne `br`. LLVM verlangt, dass jeder Block mit `br`, `ret`, `switch` oder `unreachable` endet.",Bug,11.2; plan/m4.md 4.1,"Von `clang` gefunden, sobald die Tests die IR uebersetzten statt sie nur zu lesen: „expected instruction opcode"".","Kein Textest haette das gefunden — er prueft, was dasteht, nicht was fehlt. Das ist der Einwand aus 4.1 gegen den Textausgeber in einem Beispiel, und zugleich seine Antwort: Die Gegenmassnahme ist nicht Sorgfalt, sondern LLVM selbst im Test. Ohne die Installation waere der Fehler bis Schritt 8 unentdeckt geblieben.","Erledigt: `emit` fuehrt Buch, ob der laufende Block terminiert ist; `label()` ergaenzt den Sprung, weil „weiter mit"" in LLVM diese Form hat, und `end()` erzeugt keinen zweiten `ret`. Die Maschinen-IR dreier Korpusprogramme geht durch clang.",M4,mittel,behoben 2026-09-11
FB-68,M4-Umsetzung,Die Windows-Distribution von LLVM liefert kein `llc`,"Das winget-Paket `LLVM.LLVM` enthaelt die Clang-Werkzeuge (90 Binaries), aber nicht `llc`, `opt`, `llvm-as` oder `lli`.",Befund,13.8; plan/m4.md 4.1,"Geprueft an der Installation: `clang.exe` ist da, `llc.exe` nicht.","Kein Hindernis, aber es aendert, worauf die Werkzeugsuche zielt. `clang -c` assembliert wie `llc`, `-O2` optimiert wie `opt`, und clang linkt ausserdem — die Abnahme (Schritt 8) braucht genau das. Ein Werkzeug, das ueberall vorhanden ist, ist einem vorzuziehen, das man nachinstallieren muss.","Erledigt: `toolchain::find()` sucht `clang` (ueber `TAKT_CLANG`, `PATH` und die bekannten Orte) und nicht `llc`. Die Tests ueberspringen sich mit Meldung, wenn nichts gefunden wird — der Compiler bleibt ohne LLVM baubar.",M4,niedrig,behoben 2026-09-11
FB-69,M4-Umsetzung,"Eine Fehlermeldung, die nur „Ausdruck"" sagt, hilft niemandem","Der Codegen meldete fuer jeden nicht gesenkten Knoten dasselbe: `NotYet { what: ""Ausdruck"" }`. Beim Durchgehen der Korpusprogramme war damit nicht zu erkennen, was jeweils fehlt.",Bug,10 (Meldungen mit Handlungsvorschlag); plan/m4.md 4.2,"Beim Uebersetzen der sieben fehlerfreien Korpusdateien aufgefallen: drei meldeten „Ausdruck"", jede aus einem anderen Grund.","Die Sprache selbst haelt sich an „Fehlermeldungen mit Handlungsvorschlag"" (Leitsatz Accessible); ihr eigener Compiler sollte das auch. Die Auskunft kostet nichts — der Knotenname steht in der MIR.","Erledigt: `node_name()` nennt den Knoten. Aus „Ausdruck"" wurde „Feldzugriff"" und „Zugriff (`.valid`, `.age`, ...)"", und damit stand sofort fest, was als naechstes zu senken ist.",M4,niedrig,behoben 2026-09-11
FB-70,M4-Umsetzung,Eine abgebrochene Schrittfunktion blieb offen stehen,"Traf der Codegen mitten in einer Funktion auf einen Knoten, den er nicht senkt, kehrte er zurueck und liess die Funktion offen. Der naechste `begin` lief in den `debug_assert`, und ohne ihn waere ungueltige IR entstanden.",Bug,11.2,"Vom eigenen `debug_assert` in `Module::finish` gefunden, beim ersten Uebersetzen eines Korpusprogramms.","Schlimmer als der Abbruch waere die halbe Funktion gewesen: Sie haette moeglicherweise uebersetzt und etwas anderes getan als das Programm. Der Codegen darf nichts hinterlassen, dem man nicht ansieht, dass es unvollstaendig ist.",Erledigt: `Module::mark()` und `Module::abort()` schneiden die angefangene Funktion wieder ab; `step_function` meldet den Grund. Ein Test zaehlt `define` gegen `}`.,M4,mittel,behoben 2026-09-11
FB-71,M4-Umsetzung,Der Codegen liess `enter:` und `exit:` still fallen,"Ein Uebergang setzte nur `conf`. Die Bloecke `exit:` des verlassenen und `enter:` des betretenen Zustands fielen weg — `corpus-try/01_minimal.takt` uebersetzte, aber `vent` wurde nie gesetzt.",Bug,5.2; 9.4,"Von der Reichweitenmessung `takt-llvm/src/scope.rs` gefunden, die unabhaengig vom Codegen zaehlt: Sie meldete offene Knoten fuer eine Datei, die der Codegen als vollstaendig ausgab.","Die schlimmste Sorte Fehler: Das Programm uebersetzt und tut etwas anderes als geschrieben. Ein `NotYet` waere harmlos gewesen. Gefunden hat ihn nur die *zweite*, unabhaengige Zaehlung — haette `scope` den Codegen befragt, haetten beide dasselbe Falsche behauptet.","Erledigt: Ein Uebergang fuehrt jetzt `exit:` des verlassenen Zustands aus, dann den Aktionsblock, dann `enter:` des betretenen — die Reihenfolge aus 5.2. Der Anfangszustand bekommt sein `enter:` aus `init_function`, weil 9.4 ihn vor dem ersten Tick betreten laesst; im Schritt stuende es sonst in jedem Tick. Ein Test haelt Messung und Codegen in Deckung.",M4,hoch,behoben 2026-09-11
FB-72,M4-Umsetzung,"Marken kollidierten, sobald ein Blatt die Uebergaenge seiner Vorfahren ausfuehrte",Die Marke einer Verzweigung wurde aus Blattnummer und Position in der Uebergangsliste gebaut. Bei geschachtelten Zustaenden fuehrt ein Blatt auch die Uebergaenge seiner Vorfahren aus (5.2) — der erste Uebergang des Blatts und der erste seines Elternteils hiessen dann beide `uebergang0_0`.,Bug,5.2; 11.2,"Von clang gefunden: „Terminator found in the middle of a basic block"". Die IR sah richtig aus und war es nicht.","Die zweite Marke desselben Namens macht aus dem Sprungziel einen Block mitten im Block. Betroffen waere *jede* hierarchische Maschine gewesen, also alle Sequenzprogramme. Ein Textest haette es nicht gefunden — er liest, was dasteht, nicht ob LLVM es annimmt.","Erledigt: Die Marke kommt aus einem Zaehler je erzeugter Verzweigung, nicht aus der Position im Programm. Ein Test prueft fuer jedes vollstaendig uebersetzte Programm, dass keine Marke zweimal vorkommt.",M4,hoch,behoben 2026-09-11
FB-73,M4-Umsetzung,Der Codegen fuehrte nur den `loop:` des Blatts aus,Bei geschachtelten Zustaenden lief nur der `loop:`-Block des aktiven Blatts. Die Bloecke der Zwischenebenen und der Maschine fielen weg — in `03_sequences_and_faults` also der `check chamber_p < CHAMBER_LIMIT` von `ARMED`.,Bug,5.2,Beim Bauen der Verschachtelung aufgefallen und mit `17_nested.takt` belegt: Der `check` einer Zwischenebene muss in jedem Blatt darunter stehen.,"Dieselbe Sorte wie FB-71: Das Programm uebersetzt und laesst eine Invariante fallen. 5.2 sagt, aktiv ist ein *Pfad*, nicht ein Zustand — der `loop:` einer Zwischenebene ist die Invariante aller Zustaende darunter, und genau dort stehen die Sicherheitsgrenzen einer Anlage.","Erledigt: Die `loop:`-Bloecke laufen von der Maschine abwaerts bis zum Blatt, die Uebergaenge vom Blatt aufwaerts (der innerste Zustand entscheidet zuerst). `17_nested.takt` haelt beides fest.",M4,hoch,behoben 2026-09-11
FB-74,M4-Umsetzung,Anweisungen hinter einem Terminator verschoben die Registernummern,"`abort` erzeugt `ret void` mitten im Block (5.4). Das umgebende `if` schrieb danach trotzdem sein `br`, und LLVM numeriert fuer den unerreichbaren Rest einen impliziten Block — die folgenden Register hiessen dann anders als erwartet.",Bug,5.4; 11.2,"Von clang gefunden: „instruction expected to be numbered '%11' or greater"".","Der Erzeuger muesste sonst an jeder Stelle wissen, ob ein Zweig schon geendet hat — eine Buchfuehrung, die sich ueber den ganzen Codegen zoege und genau einmal vergessen werden muesste.","Erledigt: `emit` verwirft Anweisungen hinter einem Terminator, statt sie zu schreiben. Die Registernummer wird trotzdem vergeben, damit der Aufrufer eine gueltige Referenz bekommt. Ein Test prueft fuer jede erzeugte Datei, dass nichts hinter einem Terminator steht.",M4,mittel,behoben 2026-09-11
FB-75,M4-Umsetzung,`.bits` gab den Zieltyp statt des Traegertyps zurueck,"Ein `.bits(7, 4)` auf einem `u16` lieferte ein `i16`, meldete aber den Typ des Zielausdrucks. Die naechste Instruktion war damit falsch getypt: `trunc i64 %26 to i8`, wo `%26` ein `i16` war.",Bug,3.10,"Von clang gefunden: „defined with type 'i16' but expected 'i64'"".","Ein Ausdrucksknoten muss den Typ melden, den seine Instruktion *erzeugt*, nicht den, den der Kontext erwartet — die Verengung macht der Cast, den die MIR darum herum setzt. Wer beides verwechselt, erzeugt IR, die erst LLVM zurueckweist.",Erledigt: `.bits` liefert die Breite des Traegers; das `as` verengt.,M4,mittel,behoben 2026-09-11
FB-76,M4-Umsetzung,Der Codegen liess `on`-Handler still fallen,Ein `on`-Handler (8.7) wurde vom Tickschritt nie erzeugt. `12_bitfields` uebersetzte vollstaendig und verlor dabei seinen CAN-Handler.,Bug,8.7; 5.2,"Von der Reichweitenmessung gefunden, die unabhaengig vom Codegen zaehlt — derselbe Weg wie bei FB-71 und FB-73.","Der dritte Fall derselben Sorte: Das Programm uebersetzt und tut etwas anderes als geschrieben. Dreimal dieselbe Ursache spricht dafuer, dass die unabhaengige Zaehlung kein Beiwerk ist, sondern die einzige Stelle, an der ein stilles Weglassen auffaellt — der Codegen selbst kann es nicht melden, weil er von dem Knoten nichts weiss.","Erledigt: Eine Maschine mit Handlern wird abgelehnt, bis die Stroeme da sind. Eine Ablehnung ist harmlos, ein stilles Weglassen nicht.",M4,hoch,behoben 2026-09-12
